ID	Mean_Control	Mean_Patient	Mean_Change	LogFC	Pvalue	FDR
597	5.9696	6.0339	0.0642	0.0642	0.25	0.48
598	7.4286	7.7463	0.3176	0.3176	0.16	0.38
599	7.0689	7.0762	0.0073	0.0073	0.83	0.91
602	7.5208	7.3986	-0.1222	-0.1222	0.092	0.3
604	8.7571	8.7045	-0.0526	-0.0526	0.78	0.88
605	7.4012	7.3473	-0.0539	-0.0539	0.36	0.59
606	5.9737	6.0515	0.0777	0.0777	0.34	0.57
607	6.8969	7.0463	0.1494	0.1494	0.1	0.32
608	5.8033	5.8076	0.0042	0.0042	0.89	0.95
610	7.6475	7.488	-0.1595	-0.1595	0.036	0.22
611	6.412	6.4181	0.0061	0.0061	0.84	0.92
613	7.0243	6.9838	-0.0405	-0.0405	0.33	0.56
617	6.9005	7.1363	0.2358	0.2358	0.0061	0.18
622	6.961	6.9569	-0.0041	-0.0041	0.97	0.99
623	6.1752	6.2417	0.0665	0.0665	0.094	0.3
624	6.8718	6.776	-0.0957	-0.0957	0.067	0.27
627	6.458	6.462	0.0041	0.0041	0.93	0.96
631	6.7118	6.6782	-0.0336	-0.0336	0.33	0.57
632	7.359	7.2218	-0.1372	-0.1372	0.063	0.26
633	7.6097	7.5239	-0.0859	-0.0859	0.43	0.65
634	6.6441	6.6175	-0.0266	-0.0266	0.56	0.75
635	6.5843	6.5361	-0.0482	-0.0482	0.23	0.47
636	6.9079	6.7698	-0.1381	-0.1381	0.039	0.23
637	7.7452	7.518	-0.2272	-0.2272	0.0095	0.19
638	6.716	6.7003	-0.0157	-0.0157	0.64	0.8
639	6.5216	6.4922	-0.0294	-0.0294	0.34	0.57
640	6.8147	6.7203	-0.0945	-0.0945	0.019	0.2
641	5.9588	5.9997	0.0409	0.0409	0.12	0.34
642	7.3759	7.5196	0.1437	0.1437	0.16	0.38
643	6.1895	6.1873	-0.0022	-0.0022	0.95	0.98
644	7.6225	7.7821	0.1596	0.1596	0.044	0.24
645	7.4749	7.4344	-0.0405	-0.0405	0.55	0.74
646	6.7987	6.7554	-0.0432	-0.0432	0.38	0.61
648	7.6943	8.0036	0.3093	0.3093	0.036	0.22
649	6.9816	7.0001	0.0185	0.0185	0.68	0.83
650	6.916	6.9018	-0.0142	-0.0142	0.7	0.84
651	6.2281	6.2431	0.015	0.015	0.76	0.87
652	6.72	6.6869	-0.0331	-0.0331	0.34	0.57
653	6.5485	6.4461	-0.1024	-0.1024	0.2	0.43
